source	target	pvalue	threshold
IRON MAN/TONY STARK 	WATSON-PARKER, MARY JANE	3.099952532838698e-16	4.757852431019942e-10
CAPTAIN AMERICA	WATSON-PARKER, MARY JANE	1.3677508339300581e-13	9.515704862039883e-10
THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	WATSON-PARKER, MARY JANE	4.760255554419713e-13	1.4273557293059826e-09
HULK/DR. ROBERT BRUCE BANNER 	WATSON-PARKER, MARY JANE	2.89098518667564e-12	1.9031409724079766e-09
SCARLET WITCH/WANDA MAXIMOFF	WATSON-PARKER, MARY JANE	4.033394664528174e-12	2.378926215509971e-09
JUBILEE/JUBILATION LEE 	SPIDER-MAN/PETER PARKER	1.0333497043794236e-11	2.854711458611965e-09
ODIN [ASGARDIAN]	SPIDER-MAN/PETER PARKER	1.2620668461737008e-11	3.3304967017139594e-09
WATSON-PARKER, MARY JANE	WOLVERINE/LOGAN 	4.806246980603053e-11	3.806281944815953e-09
IRON MAN/TONY STARK 	PUNISHER II/FRANK CASTIGLIONE/FRANK CASTLE	1.5007378874410264e-10	4.2820671879179475e-09
HAWK	WATSON-PARKER, MARY JANE	2.2464337132144727e-10	4.757852431019942e-09
PROFESSOR X/CHARLES FRANCIS XAVIER 	WATSON-PARKER, MARY JANE	2.3855565606040277e-10	5.233637674121936e-09
BEAST/HENRY &HANK& P. MCCOY 	WATSON-PARKER, MARY JANE	3.9872286206078444e-10	5.70942291722393e-09
SPIDER-MAN/PETER PARKER	SUMMERS, NATHAN CHRISTOPHER CHARLES	4.50766472299753e-10	6.1852081603259245e-09
CYCLOPS/SCOTT SUMMERS 	WATSON-PARKER, MARY JANE	4.5361902962447034e-10	6.660993403427919e-09
SIF	SPIDER-MAN/PETER PARKER	5.18690099426833e-10	7.136778646529912e-09
BANSHEE/SEAN CASSIDY	IRON MAN/TONY STARK 	5.656674027645254e-10	7.612563889631906e-09
BALDER [ASGARDIAN]	SPIDER-MAN/PETER PARKER	6.415061215868679e-10	8.088349132733902e-09
FURY, COL. NICHOLAS NICK JOSEPH	WATSON-PARKER, MARY JANE	1.2166635772142582e-09	8.564134375835895e-09
STORM/ORORO MUNROE Subscribe!	WATSON-PARKER, MARY JANE	1.3332712581104768e-09	9.03991961893789e-09
INVISIBLE WOMAN/SUE STORM RICHARDS 	WATSON-PARKER, MARY JANE	1.3459822414265315e-09	9.515704862039884e-09
ANT-MAN/DR. HENRY J. PYM	WATSON-PARKER, MARY JANE	1.5959624603633928e-09	9.991490105141878e-09
THING/BENJAMIN J. GRIMM 	WATSON-PARKER, MARY JANE	1.8359429207541275e-09	1.0467275348243872e-08
VISION 	WATSON-PARKER, MARY JANE	2.45760139613503e-09	1.0943060591345866e-08
PARKER, MAY	WOLVERINE/LOGAN 	2.767057821950314e-09	1.141884583444786e-08
BOOMER/TABITHA SMITH	SPIDER-MAN/PETER PARKER	3.635760967746344e-09	1.1894631077549855e-08
ANGEL/WARREN KENNETH WORTHINGTON III 	WATSON-PARKER, MARY JANE	3.767116487032152e-09	1.2370416320651849e-08
CANNONBALL II/SAM GUTHRIE 	IRON MAN/TONY STARK 	4.139046657155414e-09	1.2846201563753843e-08
WASP/JANET VAN DYNE PYM	WATSON-PARKER, MARY JANE	4.61977104232451e-09	1.3321986806855838e-08
BANNER, BETTY ROSS TALBOT	SPIDER-MAN/PETER PARKER	5.0683192892349726e-09	1.379777204995783e-08
CAPTAIN BRITAIN/BRIAN BRADDOCK	SPIDER-MAN/PETER PARKER	6.9913675830226946e-09	1.4273557293059824e-08
THING/BENJAMIN J. GRIMM 	VOLSTAGG	7.378249173270377e-09	1.4749342536161819e-08
HOGUN [ASGARDIAN]	SPIDER-MAN/PETER PARKER	7.417964036090314e-09	1.5225127779263813e-08
SPIDER-MAN/PETER PARKER	VOLSTAGG	8.326475807028434e-09	1.5700913022365807e-08
IRON MAN/TONY STARK 	WOLVERINE/LOGAN 	9.793270896210164e-09	1.6176698265467805e-08
PUNISHER II/FRANK CASTIGLIONE/FRANK CASTLE	THING/BENJAMIN J. GRIMM 	1.029044466752868e-08	1.66524835085698e-08
MACTAGGERT, MOIRA KINROSS	SPIDER-MAN/PETER PARKER	1.125925724026432e-08	1.712826875167179e-08
ODIN [ASGARDIAN]	WOLVERINE/LOGAN 	1.3186458225734502e-08	1.7604053994773784e-08
